data_type,tree_type,model,tree_num,build,is_verbose,log_likelihood,rates_info
AA,rooted,LG+R4,tree_6,VANILA,False,-54.0278,"(0.3617,0.1382) (0.3030,0.2092) (0.2116,0.2263) (0.1237,6.7817) [1         0.1382         0.3617 |   2         0.2092         0.3030 |   3         0.2263         0.2116 |   4         6.7817         0.1237]"
AA,rooted,LG+R4,tree_6,VANILA,True,-54.027845,"(0.361735,0.138236) (0.302960,0.209211) (0.211631,0.226273) (0.123675,6.781709) [1         0.138236       0.361735 |   2         0.209211       0.302960 |   3         0.226273       0.211631 |   4         6.781709       0.123675]"
AA,rooted,LG+R4,tree_7,OPENACC,False,-35.4523,"(0.2460,0.2136) (0.2497,0.6502) (0.2526,1.1545) (0.2516,1.9611) [1         0.2136         0.2460 |   2         0.6502         0.2497 |   3         1.1545         0.2526 |   4         1.9611         0.2516]"
AA,rooted,LG+R4,tree_7,OPENACC,True,-35.452286,"(0.246025,0.213554) (0.249747,0.650197) (0.252626,1.154525) (0.251601,1.961091) [1         0.213554       0.246025 |   2         0.650197       0.249747 |   3         1.154525       0.252626 |   4         1.961091       0.251601]"
AA,rooted,LG+R4,tree_7,VANILA,False,-35.4523,"(0.2460,0.2135) (0.2497,0.6502) (0.2526,1.1545) (0.2516,1.9611) [1         0.2135         0.2460 |   2         0.6502         0.2497 |   3         1.1545         0.2526 |   4         1.9611         0.2516]"
AA,rooted,LG+R4,tree_7,VANILA,True,-35.452286,"(0.246025,0.213549) (0.249747,0.650181) (0.252626,1.154497) (0.251601,1.961139) [1         0.213549       0.246025 |   2         0.650181       0.249747 |   3         1.154497       0.252626 |   4         1.961139       0.251601]"
AA,rooted,LG+R4,tree_8,OPENACC,False,-40.5633,"(0.2321,0.4561) (0.2523,0.9137) (0.2616,1.1728) (0.2540,1.4046) [1         0.4561         0.2321 |   2         0.9137         0.2523 |   3         1.1728         0.2616 |   4         1.4046         0.2540]"
AA,rooted,LG+R4,tree_8,OPENACC,True,-40.563256,"(0.232073,0.456124) (0.252311,0.913666) (0.261576,1.172820) (0.254041,1.404644) [1         0.456124       0.232073 |   2         0.913666       0.252311 |   3         1.172820       0.261576 |   4         1.404644       0.254041]"
AA,rooted,LG+R4,tree_8,VANILA,False,-40.5633,"(0.2321,0.4561) (0.2523,0.9137) (0.2616,1.1728) (0.2540,1.4046) [1         0.4561         0.2321 |   2         0.9137         0.2523 |   3         1.1728         0.2616 |   4         1.4046         0.2540]"
AA,rooted,LG+R4,tree_8,VANILA,True,-40.563256,"(0.232073,0.456124) (0.252311,0.913666) (0.261576,1.172820) (0.254041,1.404644) [1         0.456124       0.232073 |   2         0.913666       0.252311 |   3         1.172820       0.261576 |   4         1.404644       0.254041]"
