data_type,tree_type,model,tree_num,final_ll_vanila,optimal_ll_vanila,best_score_vanila,opt_rounds_vanila,opt_time_vanila,wallclock_time_vanila,final_ll_openacc,optimal_ll_openacc,best_score_openacc,opt_rounds_openacc,opt_time_openacc,wallclock_time_openacc,has_underflow_openacc,n_underflow_deriv_openacc,n_underflow_sites_openacc,has_nan_rates_openacc,_merge,ll_diff,ll_abs_diff,ll_match,rounds_diff
AA,rooted,LG,1,-31.9526,-31.953,-31.953,1.0,0.0,0.025,-31.9526,-31.953,-31.953,1.0,0.013,0.106,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,2,-52.7283,-52.728,-52.728,1.0,0.001,0.036,-52.7283,-52.728,-52.728,1.0,0.011,0.019,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,3,-44.7702,-44.77,-44.77,1.0,0.0,0.018,-44.7702,-44.77,-44.77,1.0,0.01,0.019,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,4,-64.1872,-64.187,-64.187,1.0,0.0,0.014,-64.1872,-64.187,-64.187,1.0,0.009,0.018,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,5,-31.4485,-31.449,-31.449,1.0,0.001,0.029,-31.4485,-31.449,-31.449,1.0,0.018,0.045,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,6,-58.1344,-58.134,-58.134,1.0,0.0,0.013,-58.1344,-58.134,-58.134,1.0,0.011,0.02,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,7,-62.1876,-62.188,-62.188,1.0,0.0,0.015,-62.1876,-62.188,-62.188,1.0,0.013,0.032,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,8,-49.228,-49.228,-49.228,1.0,0.0,0.017,-49.228,-49.228,-49.228,1.0,0.01,0.018,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,9,-58.1418,-58.142,-58.142,1.0,0.0,0.029,-58.1418,-58.142,-58.142,1.0,0.011,0.023,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,10,-33.8234,-33.823,-33.823,1.0,0.001,0.05,-33.8234,-33.823,-33.823,1.0,0.012,0.021,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+C60,1,-48.411,-48.411,-48.411,2.0,0.159,0.216,-86.653,-86.653,-86.653,2.0,0.582,0.626,False,0,0,False,both,-38.242000000000004,38.242000000000004,False,0.0
AA,rooted,LG+C60,2,-46.7955,-46.796,-46.796,4.0,0.274,0.316,-87.7048,-87.705,-87.705,2.0,0.542,0.616,False,0,0,False,both,-40.90930000000001,40.90930000000001,False,-2.0
AA,rooted,LG+C60,3,-38.2773,-38.277,-38.277,3.0,0.128,0.175,-71.9325,-71.933,-71.933,2.0,0.381,0.417,False,0,0,False,both,-33.65520000000001,33.65520000000001,False,-1.0
