data_type,topology,model,tree,ll_OPENACC,ll_VANILA,ll_diff,underflow_OPENACC,underflow_VANILA,pinvar_OPENACC,pinvar_VANILA,gamma_OPENACC,gamma_VANILA,opt_time_OPENACC,opt_time_VANILA
AA,unrooted,LG,tree_3,-42.58,-42.58,0.0,0,0,,,,,0.012,0.001
AA,unrooted,LG,tree_4,-33.1938,-33.1938,0.0,0,0,,,,,0.011,0.0
AA,unrooted,LG,tree_5,-33.1292,-33.1292,0.0,0,0,,,,,0.012,0.001
AA,unrooted,LG,tree_6,-36.2758,-36.2758,0.0,0,0,,,,,0.01,0.0
AA,unrooted,LG,tree_7,-51.49,-51.49,0.0,0,0,,,,,0.011,0.001
AA,unrooted,LG,tree_8,-59.9108,-59.9108,0.0,0,0,,,,,0.017,0.001
AA,unrooted,LG,tree_9,-46.0654,-46.0654,0.0,0,0,,,,,0.012,0.001
AA,unrooted,LG+C60,tree_1,-89.5385,-40.979,48.5595,0,0,,,998.4481,998.6937,0.592,0.212
AA,unrooted,LG+C60,tree_10,-67.8917,-34.678,33.2137,0,0,,,998.4464,0.02,0.606,0.275
AA,unrooted,LG+C60,tree_2,-66.019,-43.4233,22.595700000000008,0,0,,,998.4477,2.2342,0.589,0.144
AA,unrooted,LG+C60,tree_3,-85.6111,-54.5806,31.030499999999996,0,0,,,998.448,6.6391,0.607,0.244
AA,unrooted,LG+C60,tree_4,-91.8151,-53.6699,38.1452,0,0,,,998.4472,998.4165,0.607,0.181
AA,unrooted,LG+C60,tree_5,-68.0634,-32.052,36.0114,0,0,,,998.4468,998.4463,0.363,0.078
AA,unrooted,LG+C60,tree_6,-90.1662,-42.6845,47.481700000000004,0,0,,,0.4946,998.4441,0.58,0.173
AA,unrooted,LG+C60,tree_7,-58.9594,-48.4746,10.4848,0,0,,,998.4445,0.107,0.601,0.261
AA,unrooted,LG+C60,tree_8,-71.6126,-44.1678,27.4448,0,0,,,998.4477,998.4322,0.589,0.185
AA,unrooted,LG+C60,tree_9,-82.4043,-34.5222,47.88210000000001,0,0,,,0.4549,0.02,0.605,0.308
AA,unrooted,LG+G4,tree_1,-51.5526,-51.5526,0.0,0,0,,,0.5188,0.5188,0.041,0.008
AA,unrooted,LG+G4,tree_10,-56.5387,-56.5387,0.0,0,0,,,1.3702,1.3702,0.044,0.008
AA,unrooted,LG+G4,tree_2,-45.9581,-45.9581,0.0,0,0,,,998.446,998.446,0.032,0.006
AA,unrooted,LG+G4,tree_3,-65.4274,-65.4274,0.0,0,0,,,0.02,0.02,0.059,0.013
AA,unrooted,LG+G4,tree_4,-46.2536,-46.2536,0.0,0,0,,,998.443,998.443,0.038,0.008
AA,unrooted,LG+G4,tree_5,-41.6674,-41.6674,0.0,0,0,,,998.4322,998.4322,0.028,0.006
AA,unrooted,LG+G4,tree_6,-46.607,-46.607,0.0,0,0,,,0.0686,0.0686,0.057,0.01
AA,unrooted,LG+G4,tree_7,-33.4254,-33.4254,0.0,0,0,,,998.4469,998.4469,0.02,0.002
AA,unrooted,LG+G4,tree_8,-29.2651,-29.2651,0.0,0,0,,,0.0201,0.0206,0.03,0.006
AA,unrooted,LG+G4,tree_9,-47.7809,-47.7809,0.0,0,0,,,998.4391,998.4391,0.036,0.009
AA,unrooted,LG+I,tree_1,-32.8483,-32.8483,0.0,0,0,0.0,0.0,,,0.027,0.002
AA,unrooted,LG+I,tree_10,-38.1485,-38.1485,0.0,0,0,0.7372,0.7372,,,0.027,0.001
AA,unrooted,LG+I,tree_2,-60.8509,-60.8509,0.0,0,0,0.3858,0.3858,,,0.022,0.001
AA,unrooted,LG+I,tree_3,-41.2129,-41.2129,0.0,0,0,0.6636,0.6636,,,0.027,0.002
AA,unrooted,LG+I,tree_4,-42.6494,-42.6494,0.0,0,0,0.3222,0.3222,,,0.021,0.001
AA,unrooted,LG+I,tree_5,-64.9414,-64.9414,0.0,0,0,0.3099,0.3099,,,0.027,0.001
AA,unrooted,LG+I,tree_6,-54.8024,-54.8024,0.0,0,0,0.0116,0.0116,,,0.026,0.002
AA,unrooted,LG+I,tree_7,-42.9675,-42.9675,0.0,0,0,0.0,0.0,,,0.036,0.003
AA,unrooted,LG+I,tree_8,-57.777,-57.777,0.0,0,0,0.0,0.0,,,0.036,0.002
AA,unrooted,LG+I,tree_9,-33.6774,-33.6774,0.0,0,0,0.0,0.0,,,0.029,0.001
AA,unrooted,LG+I+G4,tree_1,-44.1689,-44.1689,0.0,0,0,0.687,0.687,998.4397,998.4397,0.382,0.03
AA,unrooted,LG+I+G4,tree_10,-33.2067,-33.2067,0.0,0,0,0.0,0.0,998.4473,998.4473,0.311,0.023
